c auto-generated SAT problem
p cnf 5000 10000
-3242 -394 1894 0
-817 95 2467 0
-4204 555 2179 0
-1968 669 1343 0
-4158 -2220 4319 0
-3910 -3806 -3406 0
-286 1791 4072 0
-4589 -3941 -3349 0
-3130 86 1295 0
-4597 -857 -58 0
-4342 1296 4649 0
-248 2996 4216 0
-3593 2125 4456 0
-3835 -2982 734 0
-4368 -2743 3159 0
1607 2551 3223 0
1613 2807 4375 0
1449 1622 2576 0
-1940 648 2835 0
-2600 -1127 2423 0
-3773 -1377 822 0
-2910 -1282 3511 0
-3625 -568 2908 0
-2141 -50 4613 0
-2233 -1304 1880 0
-3543 -2598 -2215 0
-3021 327 2774 0
-3788 2072 4574 0
-3114 -992 1189 0
3983 4119 4356 0
-2381 -621 718 0
2207 2663 4071 0
900 2280 4723 0
-4160 200 4242 0
-1076 3697 4737 0
-4926 -341 700 0
-4386 9 4129 0
-4594 953 2145 0
-3070 1730 3646 0
-3813 -1201 1766 0
-4079 -2869 3698 0
-3413 505 1080 0
-3865 1599 3778 0
-1772 896 2820 0
-179 286 4542 0
-4548 -3256 -2382 0
-4824 -3575 -502 0
-1810 -1312 -1206 0
-4530 -3419 161 0
-4751 -3172 2905 0
2634 3727 4538 0
-3562 1819 2616 0
-2798 -1166 -806 0
-3562 517 3132 0
189 1715 1850 0
-1271 1927 2266 0
-4670 1668 4154 0
-2348 2783 4193 0
-4916 1069 3787 0
-2797 900 3471 0
1885 2731 2805 0
-4029 2332 4852 0
-2438 687 4492 0
-4240 3288 4045 0
-1642 3155 3156 0
-1816 1085 1838 0
-2393 3034 4776 0
-4864 -1411 316 0
-4198 -3269 1478 0
-4570 -3438 4111 0
2732 3049 3804 0
-1805 1316 1745 0
-3542 -1742 -404 0
-3786 1677 4941 0
-3739 3030 4103 0
-2896 1870 1871 0
-3546 -3197 -117 0
-2666 -237 1852 0
1286 2973 3207 0
-3914 -129 1222 0
-4226 -945 3567 0
-1009 3336 4886 0
-3368 -1252 3296 0
-4627 -3148 282 0
2375 3175 3808 0
-4672 -921 677 0
3916 3947 4163 0
-3981 -3388 4969 0
-4684 -1989 1177 0
-2852 1645 4706 0
-3994 -1103 2822 0
-3979 308 1822 0
66 2291 4433 0
-3054 -777 2372 0
-4472 -1561 1265 0
-4550 -3688 -3172 0
3007 3611 4450 0
-4457 -2750 4867 0
-4404 2437 2854 0
-252 4452 4865 0
2610 2978 3609 0
-3735 394 2311 0
-4466 -2677 2005 0
-3480 -481 4199 0
-4268 -3278 4279 0
357 1333 4939 0
-1534 575 2887 0
349 3228 4734 0
-1972 -1248 4850 0
-2929 -1815 -1509 0
-1907 428 1135 0
-1158 3305 3379 0
-4959 766 2032 0
-984 -238 1674 0
1213 2739 4798 0
1479 1907 4620 0
-3415 -2402 3407 0
53 461 4119 0
-1321 3436 4199 0
806 2716 2962 0
-3876 3719 4287 0
-1354 -850 2455 0
-4903 -1779 -562 0
-3384 3433 4955 0
-4709 -1461 2676 0
-4025 -2757 4590 0
-3366 2888 3343 0
-3897 -3842 -876 0
-2291 3368 3963 0
-4893 -1056 -733 0
-4591 -4411 -1618 0
-76 4599 4639 0
-2511 -856 -92 0
-4948 -409 2225 0
-4795 -3952 -3724 0
522 3919 4976 0
-2187 -1133 -937 0
-2329 824 969 0
